,date,Sleep Score,Total Sleep Duration,Awake Time,Restless Sleep,Sleep Latency Score,Sleep Timing,Bedtime Start,Bedtime End,Inactive Time,Low Activity Time,Non-wear Time,Eat End,Bath End,Smartphone End
0,2022/5/28,65,22560,5760,29,67,13290,1442,474,40860,17580,1680,,,
1,2022/5/29,66,26550,9450,29,72,16500,1496,656,22620,15480,9240,1170,,1500
2,2022/5/30,65,20400,4560,37,89,12540,1445,421,36720,18300,3780,1200,1380,1440
3,2022/5/31,65,18570,6690,29,94,12120,1441,422,40020,18780,2940,1170,1420,1440
4,2022/6/1,61,20010,6210,25,83,12210,1484,481,32820,19920,11040,1190,1460,1480
5,2022/6/3,60,19680,4740,34,67,11250,1453,420,40200,13080,8280,1240,,1440
6,2022/6/4,67,24720,6840,25,64,14190,1503,589,31860,24120,0,1210,1440,1480
7,2022/6/5,58,21000,5820,26,64,13260,1542,549,34200,15000,2400,1170,,1530
8,2022/6/6,63,19860,5640,27,72,12660,1436,421,33600,21600,1800,1325,1410,1425
9,2022/6/7,67,20490,4110,23,75,12000,1448,418,39780,20580,0,1210,1395,1440
10,2022/6/8,58,19080,5700,33,72,12270,1478,451,36120,20400,1560,1200,,1525
11,2022/6/9,60,17700,7200,18,81,11880,1445,420,35580,19020,3960,1170,,1440
12,2022/6/10,63,19230,6630,23,75,12780,1429,420,43800,15720,1380,1170,,1430
13,2022/6/11,64,24720,5340,27,72,14940,1502,563,46380,12300,0,1190,,1500
14,2022/6/12,57,18990,4110,30,72,11400,1553,498,33960,15120,1380,1170,,1550
15,2022/6/13,68,22110,7170,24,83,13890,1373,421,33720,20940,1980,1200,,1365
16,2022/6/14,65,20610,4410,37,89,12210,1444,421,37980,16020,6960,1210,,1440
17,2022/6/15,64,20220,6780,26,89,12180,1475,485,39840,13860,2520,1200,,1470
18,2022/6/16,55,15840,7080,28,89,10860,1479,421,31380,21300,1380,1160,,1475
19,2022/6/17,59,17880,7380,22,86,12000,1456,437,38400,13440,3060,1200,,1450
20,2022/6/18,77,28620,5820,34,72,16590,1406,540,44340,16620,2760,1185,1380,1400
21,2022/6/19,57,20850,5670,28,81,13260,1666,668,30000,13740,0,1080,1650,1665
22,2022/6/20,57,18660,7140,29,86,12750,1430,420,480,480,9540,1215,,1430
